time,rcp2013,rcp45,rcp45_nointer,rcp45_nolife,rcp85,rcp85_nointer,rcp85_nolife,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife,,,,res_2013,res_rcp45,res_rcp45_nointer,res_rcp45_nolife,res_rcp85,res_rcp85_nointer,res_rcp85_nolife
61.1,0.999877123,0.991158376,0.999990817,0.999992042,0.999984706,0.999987396,0.999965806,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61.2,0.999877913,0.991181604,0.999990861,0.999992047,0.999984786,0.999987467,0.999966005,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61.3,0.999878719,0.991204456,0.999990906,0.999992051,0.999984865,0.999987538,0.999966201,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61.4,0.999879542,0.991226926,0.99999095,0.999992057,0.999984943,0.999987607,0.999966395,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61.5,0.999880384,0.99124901,0.999990994,0.999992062,0.99998502,0.999987676,0.999966588,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61.6,0.999881247,0.991270702,0.999991037,0.999992068,0.999985097,0.999987744,0.999966778,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61.7,0.999882131,0.991291998,0.99999108,0.999992074,0.999985173,0.999987812,0.999966966,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61.8,0.999883038,0.991312892,0.999991123,0.99999208,0.999985247,0.999987879,0.999967153,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
61.9,0.99988397,0.991333381,0.999991165,0.999992087,0.999985322,0.999987945,0.999967337,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62,0.999884927,0.991353462,0.999991207,0.999992093,0.999985395,0.999988011,0.99996752,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.1,0.999885909,0.991373129,0.999991249,0.999992101,0.999985468,0.999988076,0.999967701,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.2,0.999886917,0.991392379,0.99999129,0.999992108,0.99998554,0.99998814,0.99996788,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.3,0.999887951,0.99141121,0.999991331,0.999992116,0.999985611,0.999988204,0.999968057,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.4,0.999889012,0.991429618,0.999991372,0.999992124,0.999985681,0.999988267,0.999968233,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.5,0.999890098,0.9914476,0.999991412,0.999992132,0.999985751,0.99998833,0.999968407,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.6,0.999891211,0.991465155,0.999991452,0.99999214,0.999985821,0.999988392,0.999968579,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.7,0.99989235,0.991482279,0.999991492,0.999992148,0.999985889,0.999988453,0.99996875,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.8,0.999893513,0.991498971,0.999991531,0.999992157,0.999985957,0.999988514,0.999968919,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
62.9,0.999894701,0.991515229,0.99999157,0.999992166,0.999986025,0.999988574,0.999969086,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63,0.999895913,0.991531052,0.999991609,0.999992175,0.999986091,0.999988634,0.999969252,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63.1,0.999897147,0.991546437,0.999991648,0.999992184,0.999986158,0.999988693,0.999969416,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63.2,0.999898403,0.991561386,0.999991686,0.999992194,0.999986223,0.999988752,0.999969579,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63.3,0.999899679,0.991575895,0.999991724,0.999992203,0.999986288,0.99998881,0.99996974,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63.4,0.999900975,0.991589966,0.999991762,0.999992213,0.999986353,0.999988868,0.9999699,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63.5,0.999902288,0.991603598,0.999991799,0.999992223,0.999986417,0.999988926,0.999970058,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63.6,0.999903618,0.991616791,0.999991837,0.999992233,0.99998648,0.999988982,0.999970215,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
63.7,0.999904963,0.991629545,0.999991874,0.999992243,0.999986543,0.999989039,0.99997037,0.010265194,0.010400904,0.010128786,0.010216383,0.010142056,0.010124239,0.010181296,,,,,,,,,,
