time,rcp2013,rcp45,rcp85,rcp45_nointer,rcp45_nolife,rcp85_nointer,rcp85_nolife,res_2013,res_rcp45,res_rcp85,res_rcp45_nointer,res_rcp45_nolife,res_rcp85_nointer,res_rcp85_nolife,,,res_2013,res_rcp45,res_rcp85,res_rcp45_nointer,res_rcp45_nolife,res_rcp85_nointer,res_rcp85_nolife
54.6,0.999999164,1.002697902,1.000000044,0.999999999,0.999999919,0.999999997,0.999999956,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54.7,0.999999175,1.00270211,1.000000044,0.999999999,0.99999992,0.999999997,0.999999957,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54.8,0.999999185,1.002706316,1.000000043,0.999999999,0.999999921,0.999999997,0.999999957,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
54.9,0.999999193,1.002710519,1.000000043,0.999999999,0.999999921,0.999999997,0.999999957,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55,0.999999199,1.002714719,1.000000042,0.999999999,0.999999922,0.999999997,0.999999958,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.1,0.999999204,1.002718916,1.000000042,0.999999999,0.999999923,0.999999997,0.999999958,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.2,0.999999208,1.002723111,1.000000041,0.999999999,0.999999924,0.999999997,0.999999959,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.3,0.99999921,1.002727303,1.000000041,0.999999999,0.999999925,0.999999997,0.999999959,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.4,0.999999211,1.002731493,1.00000004,0.999999999,0.999999925,0.999999997,0.999999959,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.5,0.999999211,1.002735679,1.00000004,0.999999999,0.999999926,0.999999997,0.99999996,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.6,0.99999921,1.002739863,1.00000004,0.999999999,0.999999927,0.999999997,0.99999996,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.7,0.999999207,1.002744044,1.000000039,0.999999999,0.999999928,0.999999997,0.99999996,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.8,0.999999204,1.002748223,1.000000039,0.999999999,0.999999928,0.999999997,0.999999961,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
55.9,0.999999199,1.002752399,1.000000038,0.999999999,0.999999929,0.999999997,0.999999961,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56,0.999999194,1.002756572,1.000000038,0.999999999,0.99999993,0.999999997,0.999999961,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.1,0.999999187,1.002760742,1.000000038,0.999999999,0.999999931,0.999999997,0.999999962,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.2,0.99999918,1.002764909,1.000000037,0.999999999,0.999999931,0.999999997,0.999999962,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.3,0.999999172,1.002769074,1.000000037,0.999999999,0.999999932,0.999999997,0.999999962,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.4,0.999999163,1.002773236,1.000000036,0.999999999,0.999999933,0.999999997,0.999999962,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.5,0.999999154,1.002777396,1.000000036,0.999999999,0.999999933,0.999999997,0.999999963,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.6,0.999999144,1.002781552,1.000000036,0.999999999,0.999999934,0.999999997,0.999999963,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.7,0.999999133,1.002785706,1.000000035,0.999999999,0.999999935,0.999999997,0.999999963,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.8,0.999999122,1.002789857,1.000000035,0.999999999,0.999999935,0.999999997,0.999999964,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
56.9,0.999999111,1.002794006,1.000000034,0.999999999,0.999999936,0.999999997,0.999999964,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57,0.999999099,1.002798152,1.000000034,0.999999999,0.999999937,0.999999998,0.999999964,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.1,0.999999087,1.002802295,1.000000034,0.999999999,0.999999937,0.999999998,0.999999965,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.2,0.999999075,1.002806435,1.000000033,0.999999999,0.999999938,0.999999998,0.999999965,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.3,0.999999063,1.002810573,1.000000033,0.999999999,0.999999939,0.999999998,0.999999965,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.4,0.999999051,1.002814708,1.000000033,0.999999999,0.999999939,0.999999998,0.999999965,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.5,0.999999039,1.00281884,1.000000032,0.999999999,0.99999994,0.999999998,0.999999966,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.6,0.999999027,1.002822969,1.000000032,0.999999999,0.999999941,0.999999998,0.999999966,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.7,0.999999015,1.002827096,1.000000032,0.999999999,0.999999941,0.999999998,0.999999966,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.8,0.999999003,1.00283122,1.000000031,0.999999999,0.999999942,0.999999998,0.999999967,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
57.9,0.999998991,1.002835342,1.000000031,0.999999999,0.999999942,0.999999998,0.999999967,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58,0.999998979,1.002839461,1.000000031,0.999999999,0.999999943,0.999999998,0.999999967,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.1,0.999998968,1.002843577,1.00000003,0.999999999,0.999999944,0.999999998,0.999999968,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.2,0.999998957,1.00284769,1.00000003,0.999999999,0.999999944,0.999999998,0.999999968,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.3,0.999998947,1.002851801,1.00000003,0.999999999,0.999999945,0.999999998,0.999999968,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.4,0.999998937,1.002855909,1.000000029,0.999999999,0.999999945,0.999999998,0.999999968,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.5,0.999998927,1.002860014,1.000000029,0.999999999,0.999999946,0.999999998,0.999999969,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.6,0.999998918,1.002864117,1.000000029,0.999999999,0.999999947,0.999999998,0.999999969,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.7,0.999998909,1.002868217,1.000000028,1,0.999999947,0.999999998,0.999999969,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.8,0.999998901,1.002872315,1.000000028,1,0.999999948,0.999999998,0.999999969,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
58.9,0.999998893,1.00287641,1.000000028,1,0.999999948,0.999999998,0.99999997,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
59,0.999998886,1.002880502,1.000000027,1,0.999999949,0.999999998,0.99999997,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
59.1,0.999998879,1.002884591,1.000000027,1,0.999999949,0.999999998,0.99999997,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
59.2,0.999998874,1.002888678,1.000000027,1,0.99999995,0.999999998,0.999999971,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
59.3,0.999998868,1.002892763,1.000000027,1,0.99999995,0.999999998,0.999999971,0.009981765,0.009939694,0.009987298,0.009986999,0.009985304,0.009987291,0.00998729,,,,,,,,,
